OrtsID;Ortsname;GebietsID
25431;"Sao Caetano Do Sul";"12"
25463;"Jericoacoara";"12"
26108;"Preà";"12"
27268;"Patamares";"12"
27304;"Gravatai";"12"
27306;"Jaguariaiva";"12"
27329;"Ipatinga";"12"
27330;"Macae";"12"
27397;"Ponta Grossa";"12"
27398;"Joacaba";"12"
27568;"Taiba";"12"
27569;"Congonhas";"12"
27570;"Jaboticatubas";"12"
27571;"Pocone";"12"
27572;"Cachoeira";"12"
27573;"Chapada Diamantina Nationalpark";"12"
27574;"Peninsula de Marau";"12"
27575;"Serra Grande";"12"
27576;"Pecem";"12"
27578;"Marajo";"12"
27660;"Flechairas";"12"
27685;"Aracatuba";"12"
27697;"Americana";"12"
27708;"Caldas Novas";"12"
27750;"Rio Negro";"12"
27751;"Parintins";"12"
27887;"Vera Cruz";"12"
27894;"Caruaru";"12"
27895;"Igarassu";"12"
27897;"Pantanal";"12"
27899;"Serra do Rio Rastro";"12"
27900;"Alto Benedito Novo";"12"
27901;"Florestal";"12"
27902;"Barra do Pirai";"12"
27903;"Rio das Flores";"12"
27904;"Sebastiao Lacerda";"12"
27905;"Ilha Grande";"12"
27906;"Ilha do Gipoia";"12"
27907;"Porto de Sauipe";"12"
27908;"Riacho Doce";"12"
27909;"Maragogi";"12"
27910;"Sao Miguel dos Milagres";"12"
27912;"Praia de Pipa";"12"
27913;"Praia das Minas";"12"
27914;"Baia Formosa";"12"
27915;"Flexeiras";"12"
27916;"Paracuru";"12"
28084;"Governador Celso Ramos";"12"
28249;"Treze Tilias";"12"
28252;"Limeira";"12"
28253;"Barretos";"12"
28254;"Sorocaba";"12"
28255;"Uberaba";"12"
28263;"Campo Largo";"12"
28264;"Pocos De Caldas";"12"
28335;"Bertioga";"12"
29858;"Mata de Sao Joao";"12"
30981;"Paulista";"12"
31717;"Rio Branco";"12"
32254;"Petrópolis";"12"
32255;"Santo André";"12"
32265;"Marina Farinhas";"12"
32267;"Maria Farinha";"12"
32452;"Iguassu Nationalpark";"12"
32525;"Ponta de Mangue";"12"
32688;"Marechal Deodoro";"12"
32689;"Campos do Jordão";"12"
32690;"Ipojuca";"12"
32691;"Jaraguá do Sul";"12"
32692;"Osasco";"12"
32693;"Teresópolis";"12"
32694;"Una (Bahia)";"12"
34658;"Itapecerica da Serra";"12"
36515;"Parajuru";"12"
36621;"Stella Maris";"12"
36874;"Praia do Rosa";"12"
36995;"Bombinhas";"12"
36996;"Laguna";"12"
36997;"Rio Claro";"12"
37320;"Alta Floresta";"12"
37435;"Paraty";"12"
37436;"Tiradentes";"12"
42;"Albena";"14"
43;"Goldstrand";"14"
44;"Sveti Konstantin";"14"
3312;"Trakata";"14"
5324;"Kranevo";"14"
6275;"Russalka";"14"
7027;"Tschiflika";"14"
10418;"Varna";"14"
10674;"Obsor";"14"
19215;"Bjala";"14"
23076;"Baltschik";"14"
34622;"Tschepelare";"14"
36634;"Sunny Day";"14"
37;"Duni";"15"
38;"Elenite";"15"
39;"Sonnenstrand";"15"
3322;"Pomorie";"15"
5375;"Sosopol";"15"
7028;"Kiten";"15"
7029;"Nessebar";"15"
7030;"Primorsko";"15"
7031;"Ravda";"15"
7545;"Acheloj";"15"
14445;"Sinemoretz";"15"
14760;"Zarewo";"15"
16434;"Burgas";"15"
17658;"Sveti Vlas";"15"
19216;"Kraimorie";"15"
19217;"Chernomorets";"15"
19218;"Sarafovo";"15"
28871;"Briastovets";"15"
34614;"Lozenetz";"15"
46;"Guanacaste";"16"
47;"San Jose";"16"
1314;"Manuel Antonio";"16"
1315;"Playa Tamarindo";"16"
1317;"Playa Bolanos";"16"
1318;"Punta Mona";"16"
1319;"Puerto Viejo";"16"
1320;"Punta Leona";"16"
1422;"Ribera de Belen";"16"
1423;"Herradura";"16"
1424;"Playa Conchal";"16"
1425;"Playa Arenilla";"16"
1556;"Samara";"16"
1557;"Playa Tambor";"16"
1558;"Jaco";"16"
1559;"Puntarenas";"16"
1973;"Montelimar";"16"
2301;"Playa Buena";"16"
3597;"Arenal";"16"
3598;"Cahuita";"16"
3599;"Monteverde";"16"
3600;"Playa Herradura";"16"
7033;"Playa Blanca";"16"
7034;"Playa Jaco";"16"
7035;"Papagayo";"16"
7036;"Playa Hermosa";"16"
7037;"Playa Papagayo";"16"
8338;"Turrialba";"16"
9736;"San Carlos";"16"
9797;"Tortuguero";"16"
10642;"Playa Mananillo";"16"
10643;"Tambor";"16"
12353;"Coronado";"16"
12418;"Puerto Limon";"16"
12703;"Rincón de la Vieja";"16"
14199;"Puerto Caldera";"16"
14273;"San Gerardo de Dota";"16"
14316;"Costa Rica";"16"
14995;"Playa El Ocotal";"16"
14996;"Centro Colon";"16"
14997;"Peninsula de Osa";"16"
14998;"Sarapiqui";"16"
